user_id,tenant_id,role,registered_at,last_seen_at,is_active
usr_ten_001_01,ten_001,member,2023-11-26,2024-06-09,True
usr_ten_001_02,ten_001,member,2023-11-27,2024-06-28,True
usr_ten_002_01,ten_002,member,2023-01-27,2024-05-16,False
usr_ten_002_02,ten_002,read-only,2023-02-01,2024-06-24,True
usr_ten_002_03,ten_002,read-only,2023-02-22,2024-06-13,True
usr_ten_002_04,ten_002,member,2023-02-24,2024-06-25,True
usr_ten_002_05,ten_002,member,2023-02-15,2024-06-08,True
usr_ten_002_06,ten_002,admin,2023-02-12,2024-06-23,True
usr_ten_002_07,ten_002,member,2023-02-18,2024-05-28,False
usr_ten_002_08,ten_002,admin,2023-01-31,2024-06-28,True
usr_ten_002_09,ten_002,member,2023-02-25,2024-05-27,False
usr_ten_002_10,ten_002,admin,2023-01-29,2024-06-09,True
usr_ten_003_01,ten_003,admin,2023-11-20,2024-06-01,True
usr_ten_003_02,ten_003,admin,2023-11-21,2024-06-01,True
usr_ten_003_03,ten_003,read-only,2023-11-17,2024-06-30,True
usr_ten_003_04,ten_003,read-only,2023-11-04,2024-05-25,False
usr_ten_003_05,ten_003,member,2023-11-22,2024-05-19,False
usr_ten_003_06,ten_003,read-only,2023-11-23,2024-06-24,True
usr_ten_003_07,ten_003,member,2023-11-12,2024-06-16,True
usr_ten_003_08,ten_003,admin,2023-11-20,2024-06-07,True
usr_ten_003_09,ten_003,member,2023-11-25,2024-06-05,True
usr_ten_003_10,ten_003,member,2023-12-03,2024-05-27,False
usr_ten_003_11,ten_003,admin,2023-11-28,2024-06-17,True
usr_ten_003_12,ten_003,member,2023-11-20,2024-06-19,True
usr_ten_004_01,ten_004,member,2023-10-10,2024-06-30,True
usr_ten_004_02,ten_004,member,2023-10-13,2024-05-26,False
usr_ten_005_01,ten_005,member,2023-06-15,2024-06-24,True
usr_ten_005_02,ten_005,admin,2023-06-02,2024-06-26,True
usr_ten_005_03,ten_005,member,2023-06-06,2024-06-07,True
